   # Gamma      Time       Height_Z     Velocity_Z
      10.0    0.0100       9.999460      -0.098100
      10.0    0.0200       9.997940      -0.196200
      10.0    0.0300       9.995438      -0.294300
      10.0    0.0400       9.991956      -0.392400
      10.0    0.0500       9.987492      -0.490500
      10.0    0.0600       9.982048      -0.588600
      10.0    0.0700       9.975622      -0.686700
      10.0    0.0800       9.968216      -0.784800
      10.0    0.0900       9.959828      -0.882900
      10.0    0.1000       9.950459      -0.981000
      10.0    0.1100       9.940110      -1.079100
      10.0    0.1200       9.928779      -1.177200
      10.0    0.1300       9.916468      -1.275300
      10.0    0.1400       9.903175      -1.373400
      10.0    0.1500       9.888902      -1.471500
      10.0    0.1600       9.873647      -1.569600
      10.0    0.1700       9.857412      -1.667700
      10.0    0.1800       9.840195      -1.765800
      10.0    0.1900       9.821998      -1.863900
      10.0    0.2000       9.802819      -1.962000
      10.0    0.2100       9.782659      -2.060100
      10.0    0.2200       9.761519      -2.158200
      10.0    0.2300       9.739397      -2.256300
      10.0    0.2400       9.716295      -2.354400
      10.0    0.2500       9.692211      -2.452500
      10.0    0.2600       9.667147      -2.550600
      10.0    0.2700       9.641101      -2.648700
      10.0    0.2800       9.614075      -2.746800
      10.0    0.2900       9.586067      -2.844900
      10.0    0.3000       9.557078      -2.943000
      10.0    0.3100       9.527109      -3.041100
      10.0    0.3200       9.496158      -3.139200
      10.0    0.3300       9.464227      -3.237300
      10.0    0.3400       9.431314      -3.335400
      10.0    0.3500       9.397421      -3.433500
      10.0    0.3600       9.362546      -3.531600
      10.0    0.3700       9.326691      -3.629700
      10.0    0.3800       9.289854      -3.727800
      10.0    0.3900       9.252037      -3.825900
      10.0    0.4000       9.213238      -3.924000
      10.0    0.4100       9.173458      -4.022100
      10.0    0.4200       9.132698      -4.120200
      10.0    0.4300       9.090956      -4.218300
      10.0    0.4400       9.048234      -4.316400
      10.0    0.4500       9.004530      -4.414500
      10.0    0.4600       8.959846      -4.512600
      10.0    0.4700       8.914180      -4.610700
      10.0    0.4800       8.867534      -4.708800
      10.0    0.4900       8.819906      -4.806900
      10.0    0.5000       8.771297      -4.905000
      10.0    0.5100       8.721708      -5.003100
      10.0    0.5200       8.671137      -5.101200
      10.0    0.5300       8.619586      -5.199300
      10.0    0.5400       8.567053      -5.297400
      10.0    0.5500       8.513540      -5.395500
      10.0    0.5600       8.459045      -5.493600
      10.0    0.5700       8.403570      -5.591700
      10.0    0.5800       8.347113      -5.689800
      10.0    0.5900       8.289675      -5.787900
      10.0    0.6000       8.231257      -5.886000
      10.0    0.6100       8.171857      -5.984100
      10.0    0.6200       8.111477      -6.082200
      10.0    0.6300       8.050115      -6.180300
      10.0    0.6400       7.987773      -6.278400
      10.0    0.6500       7.924449      -6.376500
      10.0    0.6600       7.860145      -6.474600
      10.0    0.6700       7.794859      -6.572700
      10.0    0.6800       7.728593      -6.670800
      10.0    0.6900       7.661345      -6.768900
      10.0    0.7000       7.593116      -6.867000
      10.0    0.7100       7.523907      -6.965100
      10.0    0.7200       7.453716      -7.063200
      10.0    0.7300       7.382545      -7.161300
      10.0    0.7400       7.310392      -7.259400
      10.0    0.7500       7.237259      -7.357500
      10.0    0.7600       7.163144      -7.455600
      10.0    0.7700       7.088049      -7.553700
      10.0    0.7800       7.011972      -7.651800
      10.0    0.7900       6.934914      -7.749900
      10.0    0.8000       6.856876      -7.848000
      10.0    0.8100       6.777856      -7.946100
      10.0    0.8200       6.697856      -8.044200
      10.0    0.8300       6.616874      -8.142300
      10.0    0.8400       6.534912      -8.240400
      10.0    0.8500       6.451968      -8.338500
      10.0    0.8600       6.368044      -8.436600
      10.0    0.8700       6.283138      -8.534700
      10.0    0.8800       6.197251      -8.632800
      10.0    0.8900       6.110384      -8.730900
      10.0    0.9000       6.022535      -8.829000
      10.0    0.9100       5.933706      -8.927100
      10.0    0.9200       5.843895      -9.025200
      10.0    0.9300       5.753104      -9.123300
      10.0    0.9400       5.661331      -9.221400
      10.0    0.9500       5.568578      -9.319500
      10.0    0.9600       5.474843      -9.417600
      10.0    0.9700       5.380127      -9.515700
      10.0    0.9800       5.284431      -9.613800
      10.0    0.9900       5.187753      -9.711900
      10.0    1.0000       5.090095      -9.810000
      10.0    1.0100       4.991455      -9.908100
      10.0    1.0200       4.891835     -10.006200
      10.0    1.0300       4.791233     -10.104300
      10.0    1.0400       4.689651     -10.202400
      10.0    1.0500       4.587087     -10.300500
      10.0    1.0600       4.483542     -10.398600
      10.0    1.0700       4.379017     -10.496700
      10.0    1.0800       4.273510     -10.594800
      10.0    1.0900       4.167023     -10.692900
      10.0    1.1000       4.059554     -10.791000
      10.0    1.1100       3.951105     -10.889100
      10.0    1.1200       3.841674     -10.987200
      10.0    1.1300       3.731263     -11.085300
      10.0    1.1400       3.619870     -11.183400
      10.0    1.1500       3.507496     -11.281500
      10.0    1.1600       3.394142     -11.379600
      10.0    1.1700       3.279806     -11.477700
      10.0    1.1800       3.164490     -11.575800
      10.0    1.1900       3.048192     -11.673900
      10.0    1.2000       2.930914     -11.772001
      10.0    1.2100       2.812654     -11.870101
      10.0    1.2200       2.693414     -11.968201
      10.0    1.2300       2.573192     -12.066301
      10.0    1.2400       2.451989     -12.164401
      10.0    1.2500       2.329806     -12.262501
      10.0    1.2600       2.206641     -12.360601
      10.0    1.2700       2.082496     -12.458701
      10.0    1.2800       1.957369     -12.556801
      10.0    1.2900       1.831262     -12.654901
      10.0    1.3000       1.704173     -12.753001
      10.0    1.3100       1.576104     -12.851101
      10.0    1.3200       1.447053     -12.949201
      10.0    1.3300       1.317021     -13.047301
      10.0    1.3400       1.186009     -13.145401
      10.0    1.3500       1.054015     -13.243501
      10.0    1.3600       0.921041     -13.341601
      10.0    1.3700       0.787085     -13.439701
      10.0    1.3800       0.652149     -13.537801
      10.0    1.3900       0.516231     -13.635901
      10.0    1.4000       0.398527      -8.426757
      10.0    1.4100       0.380351       3.772277
      10.0    1.4200       0.468272      11.487453
      10.0    1.4300       0.585384      11.675440
      10.0    1.4400       0.701599      11.577340
      10.0    1.4500       0.816833      11.479240
      10.0    1.4600       0.931086      11.381140
      10.0    1.4700       1.044357      11.283040
      10.0    1.4800       1.156648      11.184940
      10.0    1.4900       1.267958      11.086840
      10.0    1.5000       1.378287      10.988740
      10.0    1.5100       1.487635      10.890640
      10.0    1.5200       1.596002      10.792540
      10.0    1.5300       1.703388      10.694440
      10.0    1.5400       1.809792      10.596340
      10.0    1.5500       1.915216      10.498240
      10.0    1.5600       2.019659      10.400140
      10.0    1.5700       2.123121      10.302040
      10.0    1.5800       2.225602      10.203940
      10.0    1.5900       2.327102      10.105840
      10.0    1.6000       2.427621      10.007740
      10.0    1.6100       2.527158       9.909640
      10.0    1.6200       2.625715       9.811540
      10.0    1.6300       2.723291       9.713440
      10.0    1.6400       2.819886       9.615340
      10.0    1.6500       2.915500       9.517240
      10.0    1.6600       3.010133       9.419140
      10.0    1.6700       3.103785       9.321040
      10.0    1.6800       3.196455       9.222940
      10.0    1.6900       3.288145       9.124840
      10.0    1.7000       3.378854       9.026740
      10.0    1.7100       3.468582       8.928640
      10.0    1.7200       3.557329       8.830540
      10.0    1.7300       3.645095       8.732440
      10.0    1.7400       3.731880       8.634340
      10.0    1.7500       3.817683       8.536240
      10.0    1.7600       3.902506       8.438140
      10.0    1.7700       3.986348       8.340040
      10.0    1.7800       4.069209       8.241940
      10.0    1.7900       4.151089       8.143840
      10.0    1.8000       4.231988       8.045740
      10.0    1.8100       4.311905       7.947640
      10.0    1.8200       4.390842       7.849540
      10.0    1.8300       4.468798       7.751440
      10.0    1.8400       4.545773       7.653340
      10.0    1.8500       4.621767       7.555240
      10.0    1.8600       4.696780       7.457140
      10.0    1.8700       4.770812       7.359040
      10.0    1.8800       4.843862       7.260940
      10.0    1.8900       4.915932       7.162840
      10.0    1.9000       4.987021       7.064740
      10.0    1.9100       5.057129       6.966640
      10.0    1.9200       5.126256       6.868540
      10.0    1.9300       5.194402       6.770440
      10.0    1.9400       5.261567       6.672340
      10.0    1.9500       5.327750       6.574240
      10.0    1.9600       5.392953       6.476140
      10.0    1.9700       5.457175       6.378040
      10.0    1.9800       5.520416       6.279940
      10.0    1.9900       5.582676       6.181840
      10.0    2.0000       5.643955       6.083740
      10.0    2.0100       5.704253       5.985640
      10.0    2.0200       5.763569       5.887540
      10.0    2.0300       5.821905       5.789440
      10.0    2.0400       5.879260       5.691340
      10.0    2.0500       5.935634       5.593240
      10.0    2.0600       5.991027       5.495140
      10.0    2.0700       6.045439       5.397040
      10.0    2.0800       6.098870       5.298940
      10.0    2.0900       6.151319       5.200840
      10.0    2.1000       6.202788       5.102740
      10.0    2.1100       6.253276       5.004640
      10.0    2.1200       6.302783       4.906540
      10.0    2.1300       6.351309       4.808440
      10.0    2.1400       6.398854       4.710340
      10.0    2.1500       6.445417       4.612240
      10.0    2.1600       6.491000       4.514140
      10.0    2.1700       6.535602       4.416040
      10.0    2.1800       6.579223       4.317940
      10.0    2.1900       6.621863       4.219840
      10.0    2.2000       6.663522       4.121740
      10.0    2.2100       6.704200       4.023640
      10.0    2.2200       6.743896       3.925540
      10.0    2.2300       6.782612       3.827440
      10.0    2.2400       6.820347       3.729340
      10.0    2.2500       6.857101       3.631240
      10.0    2.2600       6.892874       3.533140
      10.0    2.2700       6.927666       3.435040
      10.0    2.2800       6.961477       3.336940
      10.0    2.2900       6.994306       3.238840
      10.0    2.3000       7.026155       3.140740
      10.0    2.3100       7.057023       3.042640
      10.0    2.3200       7.086910       2.944540
      10.0    2.3300       7.115816       2.846440
      10.0    2.3400       7.143741       2.748340
      10.0    2.3500       7.170684       2.650240
      10.0    2.3600       7.196647       2.552140
      10.0    2.3700       7.221629       2.454040
      10.0    2.3800       7.245630       2.355940
      10.0    2.3900       7.268650       2.257840
      10.0    2.4000       7.290689       2.159740
      10.0    2.4100       7.311747       2.061640
      10.0    2.4200       7.331823       1.963540
      10.0    2.4300       7.350919       1.865440
      10.0    2.4400       7.369034       1.767340
      10.0    2.4500       7.386168       1.669240
      10.0    2.4600       7.402321       1.571140
      10.0    2.4700       7.417493       1.473040
      10.0    2.4800       7.431684       1.374940
      10.0    2.4900       7.444893       1.276840
      10.0    2.5000       7.457122       1.178740
      10.0    2.5100       7.468370       1.080640
      10.0    2.5200       7.478637       0.982540
      10.0    2.5300       7.487923       0.884440
      10.0    2.5400       7.496228       0.786340
      10.0    2.5500       7.503552       0.688240
      10.0    2.5600       7.509894       0.590140
      10.0    2.5700       7.515256       0.492040
      10.0    2.5800       7.519637       0.393940
      10.0    2.5900       7.523037       0.295840
      10.0    2.6000       7.525456       0.197740
      10.0    2.6100       7.526894       0.099640
      10.0    2.6200       7.527350       0.001540
      10.0    2.6300       7.526826      -0.096560
      10.0    2.6400       7.525321      -0.194660
      10.0    2.6500       7.522835      -0.292760
      10.0    2.6600       7.519368      -0.390860
      10.0    2.6700       7.514920      -0.488960
      10.0    2.6800       7.509491      -0.587060
      10.0    2.6900       7.503080      -0.685160
      10.0    2.7000       7.495689      -0.783260
      10.0    2.7100       7.487317      -0.881360
      10.0    2.7200       7.477964      -0.979460
      10.0    2.7300       7.467630      -1.077560
      10.0    2.7400       7.456315      -1.175660
      10.0    2.7500       7.444018      -1.273760
      10.0    2.7600       7.430741      -1.371860
      10.0    2.7700       7.416483      -1.469960
      10.0    2.7800       7.401244      -1.568060
      10.0    2.7900       7.385024      -1.666160
      10.0    2.8000       7.367823      -1.764260
      10.0    2.8100       7.349641      -1.862360
      10.0    2.8200       7.330477      -1.960460
      10.0    2.8300       7.310333      -2.058560
      10.0    2.8400       7.289208      -2.156660
      10.0    2.8500       7.267102      -2.254760
      10.0    2.8600       7.244015      -2.352860
      10.0    2.8700       7.219947      -2.450960
      10.0    2.8800       7.194898      -2.549060
      10.0    2.8900       7.168867      -2.647160
      10.0    2.9000       7.141856      -2.745260
      10.0    2.9100       7.113864      -2.843360
      10.0    2.9200       7.084891      -2.941460
      10.0    2.9300       7.054937      -3.039560
      10.0    2.9400       7.024002      -3.137660
      10.0    2.9500       6.992085      -3.235760
      10.0    2.9600       6.959188      -3.333860
      10.0    2.9700       6.925310      -3.431960
      10.0    2.9800       6.890451      -3.530060
      10.0    2.9900       6.854611      -3.628160
      10.0    3.0000       6.817790      -3.726260
      50.0    0.0100       9.999460      -0.098100
      50.0    0.0200       9.997940      -0.196200
      50.0    0.0300       9.995438      -0.294300
      50.0    0.0400       9.991956      -0.392400
      50.0    0.0500       9.987492      -0.490500
      50.0    0.0600       9.982048      -0.588600
      50.0    0.0700       9.975622      -0.686700
      50.0    0.0800       9.968216      -0.784800
      50.0    0.0900       9.959828      -0.882900
      50.0    0.1000       9.950459      -0.981000
      50.0    0.1100       9.940110      -1.079100
      50.0    0.1200       9.928779      -1.177200
      50.0    0.1300       9.916468      -1.275300
      50.0    0.1400       9.903175      -1.373400
      50.0    0.1500       9.888902      -1.471500
      50.0    0.1600       9.873647      -1.569600
      50.0    0.1700       9.857412      -1.667700
      50.0    0.1800       9.840195      -1.765800
      50.0    0.1900       9.821998      -1.863900
      50.0    0.2000       9.802819      -1.962000
      50.0    0.2100       9.782659      -2.060100
      50.0    0.2200       9.761519      -2.158200
      50.0    0.2300       9.739397      -2.256300
      50.0    0.2400       9.716295      -2.354400
      50.0    0.2500       9.692211      -2.452500
      50.0    0.2600       9.667147      -2.550600
      50.0    0.2700       9.641101      -2.648700
      50.0    0.2800       9.614075      -2.746800
      50.0    0.2900       9.586067      -2.844900
      50.0    0.3000       9.557078      -2.943000
      50.0    0.3100       9.527109      -3.041100
      50.0    0.3200       9.496158      -3.139200
      50.0    0.3300       9.464227      -3.237300
      50.0    0.3400       9.431314      -3.335400
      50.0    0.3500       9.397421      -3.433500
      50.0    0.3600       9.362546      -3.531600
      50.0    0.3700       9.326691      -3.629700
      50.0    0.3800       9.289854      -3.727800
      50.0    0.3900       9.252037      -3.825900
      50.0    0.4000       9.213238      -3.924000
      50.0    0.4100       9.173458      -4.022100
      50.0    0.4200       9.132698      -4.120200
      50.0    0.4300       9.090956      -4.218300
      50.0    0.4400       9.048234      -4.316400
      50.0    0.4500       9.004530      -4.414500
      50.0    0.4600       8.959846      -4.512600
      50.0    0.4700       8.914180      -4.610700
      50.0    0.4800       8.867534      -4.708800
      50.0    0.4900       8.819906      -4.806900
      50.0    0.5000       8.771297      -4.905000
      50.0    0.5100       8.721708      -5.003100
      50.0    0.5200       8.671137      -5.101200
      50.0    0.5300       8.619586      -5.199300
      50.0    0.5400       8.567053      -5.297400
      50.0    0.5500       8.513540      -5.395500
      50.0    0.5600       8.459045      -5.493600
      50.0    0.5700       8.403570      -5.591700
      50.0    0.5800       8.347113      -5.689800
      50.0    0.5900       8.289675      -5.787900
      50.0    0.6000       8.231257      -5.886000
      50.0    0.6100       8.171857      -5.984100
      50.0    0.6200       8.111477      -6.082200
      50.0    0.6300       8.050115      -6.180300
      50.0    0.6400       7.987773      -6.278400
      50.0    0.6500       7.924449      -6.376500
      50.0    0.6600       7.860145      -6.474600
      50.0    0.6700       7.794859      -6.572700
      50.0    0.6800       7.728593      -6.670800
      50.0    0.6900       7.661345      -6.768900
      50.0    0.7000       7.593116      -6.867000
      50.0    0.7100       7.523907      -6.965100
      50.0    0.7200       7.453716      -7.063200
      50.0    0.7300       7.382545      -7.161300
      50.0    0.7400       7.310392      -7.259400
      50.0    0.7500       7.237259      -7.357500
      50.0    0.7600       7.163144      -7.455600
      50.0    0.7700       7.088049      -7.553700
      50.0    0.7800       7.011972      -7.651800
      50.0    0.7900       6.934914      -7.749900
      50.0    0.8000       6.856876      -7.848000
      50.0    0.8100       6.777856      -7.946100
      50.0    0.8200       6.697856      -8.044200
      50.0    0.8300       6.616874      -8.142300
      50.0    0.8400       6.534912      -8.240400
      50.0    0.8500       6.451968      -8.338500
      50.0    0.8600       6.368044      -8.436600
      50.0    0.8700       6.283138      -8.534700
      50.0    0.8800       6.197251      -8.632800
      50.0    0.8900       6.110384      -8.730900
      50.0    0.9000       6.022535      -8.829000
      50.0    0.9100       5.933706      -8.927100
      50.0    0.9200       5.843895      -9.025200
      50.0    0.9300       5.753104      -9.123300
      50.0    0.9400       5.661331      -9.221400
      50.0    0.9500       5.568578      -9.319500
      50.0    0.9600       5.474843      -9.417600
      50.0    0.9700       5.380127      -9.515700
      50.0    0.9800       5.284431      -9.613800
      50.0    0.9900       5.187753      -9.711900
      50.0    1.0000       5.090095      -9.810000
      50.0    1.0100       4.991455      -9.908100
      50.0    1.0200       4.891835     -10.006200
      50.0    1.0300       4.791233     -10.104300
      50.0    1.0400       4.689651     -10.202400
      50.0    1.0500       4.587087     -10.300500
      50.0    1.0600       4.483542     -10.398600
      50.0    1.0700       4.379017     -10.496700
      50.0    1.0800       4.273510     -10.594800
      50.0    1.0900       4.167023     -10.692900
      50.0    1.1000       4.059554     -10.791000
      50.0    1.1100       3.951105     -10.889100
      50.0    1.1200       3.841674     -10.987200
      50.0    1.1300       3.731263     -11.085300
      50.0    1.1400       3.619870     -11.183400
      50.0    1.1500       3.507496     -11.281500
      50.0    1.1600       3.394142     -11.379600
      50.0    1.1700       3.279806     -11.477700
      50.0    1.1800       3.164490     -11.575800
      50.0    1.1900       3.048192     -11.673900
      50.0    1.2000       2.930914     -11.772001
      50.0    1.2100       2.812654     -11.870101
      50.0    1.2200       2.693414     -11.968201
      50.0    1.2300       2.573192     -12.066301
      50.0    1.2400       2.451989     -12.164401
      50.0    1.2500       2.329806     -12.262501
      50.0    1.2600       2.206641     -12.360601
      50.0    1.2700       2.082496     -12.458701
      50.0    1.2800       1.957369     -12.556801
      50.0    1.2900       1.831262     -12.654901
      50.0    1.3000       1.704173     -12.753001
      50.0    1.3100       1.576104     -12.851101
      50.0    1.3200       1.447053     -12.949201
      50.0    1.3300       1.317021     -13.047301
      50.0    1.3400       1.186009     -13.145401
      50.0    1.3500       1.054015     -13.243501
      50.0    1.3600       0.921041     -13.341601
      50.0    1.3700       0.787085     -13.439701
      50.0    1.3800       0.652149     -13.537801
      50.0    1.3900       0.516231     -13.635901
      50.0    1.4000       0.413753      -5.618558
      50.0    1.4100       0.414830       4.081605
      50.0    1.4200       0.477583       6.934674
      50.0    1.4300       0.546390       6.836574
      50.0    1.4400       0.614216       6.738474
      50.0    1.4500       0.681061       6.640374
      50.0    1.4600       0.746926       6.542274
      50.0    1.4700       0.811809       6.444174
      50.0    1.4800       0.875711       6.346074
      50.0    1.4900       0.938632       6.247974
      50.0    1.5000       1.000572       6.149874
      50.0    1.5100       1.061531       6.051774
      50.0    1.5200       1.121510       5.953674
      50.0    1.5300       1.180507       5.855574
      50.0    1.5400       1.238523       5.757474
      50.0    1.5500       1.295558       5.659374
      50.0    1.5600       1.351612       5.561274
      50.0    1.5700       1.406686       5.463174
      50.0    1.5800       1.460778       5.365074
      50.0    1.5900       1.513889       5.266974
      50.0    1.6000       1.566019       5.168874
      50.0    1.6100       1.617168       5.070774
      50.0    1.6200       1.667337       4.972674
      50.0    1.6300       1.716524       4.874574
      50.0    1.6400       1.764730       4.776474
      50.0    1.6500       1.811955       4.678374
      50.0    1.6600       1.858199       4.580274
      50.0    1.6700       1.903462       4.482174
      50.0    1.6800       1.947745       4.384074
      50.0    1.6900       1.991046       4.285974
      50.0    1.7000       2.033366       4.187874
      50.0    1.7100       2.074705       4.089774
      50.0    1.7200       2.115063       3.991674
      50.0    1.7300       2.154441       3.893574
      50.0    1.7400       2.192837       3.795474
      50.0    1.7500       2.230252       3.697374
      50.0    1.7600       2.266686       3.599274
      50.0    1.7700       2.302139       3.501174
      50.0    1.7800       2.336612       3.403074
      50.0    1.7900       2.370103       3.304974
      50.0    1.8000       2.402613       3.206874
      50.0    1.8100       2.434142       3.108774
      50.0    1.8200       2.464690       3.010674
      50.0    1.8300       2.494257       2.912574
      50.0    1.8400       2.522844       2.814474
      50.0    1.8500       2.550449       2.716374
      50.0    1.8600       2.577073       2.618274
      50.0    1.8700       2.602716       2.520174
      50.0    1.8800       2.627378       2.422074
      50.0    1.8900       2.651060       2.323974
      50.0    1.9000       2.673760       2.225874
      50.0    1.9100       2.695479       2.127774
      50.0    1.9200       2.716217       2.029674
      50.0    1.9300       2.735974       1.931574
      50.0    1.9400       2.754750       1.833474
      50.0    1.9500       2.772546       1.735374
      50.0    1.9600       2.789360       1.637274
      50.0    1.9700       2.805193       1.539174
      50.0    1.9800       2.820045       1.441074
      50.0    1.9900       2.833916       1.342974
      50.0    2.0000       2.846807       1.244874
      50.0    2.0100       2.858716       1.146774
      50.0    2.0200       2.869644       1.048673
      50.0    2.0300       2.879591       0.950573
      50.0    2.0400       2.888557       0.852473
      50.0    2.0500       2.896543       0.754373
      50.0    2.0600       2.903547       0.656273
      50.0    2.0700       2.909570       0.558173
      50.0    2.0800       2.914612       0.460073
      50.0    2.0900       2.918673       0.361973
      50.0    2.1000       2.921753       0.263873
      50.0    2.1100       2.923853       0.165773
      50.0    2.1200       2.924971       0.067673
      50.0    2.1300       2.925108      -0.030427
      50.0    2.1400       2.924264      -0.128527
      50.0    2.1500       2.922439      -0.226627
      50.0    2.1600       2.919634      -0.324727
