              # Time               Num_Z          Analytic_Z      Kinetic_Energy
            1.510000            1.061534           -1.183892           18.312120
            1.520000            1.121512           -1.332514           17.723251
            1.530000            1.180510           -1.482116           17.144005
            1.540000            1.238526           -1.632700           16.574382
            1.550000            1.295562           -1.784264           16.014384
            1.560000            1.351616           -1.936810           15.464009
            1.570000            1.406689           -2.090336           14.923257
            1.580000            1.460782           -2.244844           14.392130
            1.590000            1.513893           -2.400332           13.870625
            1.600000            1.566024           -2.556802           13.358745
            1.610000            1.617173           -2.714252           12.856488
            1.620000            1.667342           -2.872684           12.363854
            1.630000            1.716529           -3.032096           11.880845
            1.640000            1.764735           -3.192490           11.407459
            1.650000            1.811961           -3.353864           10.943696
            1.660000            1.858205           -3.516220           10.489557
            1.670000            1.903469           -3.679556           10.045042
            1.680000            1.947751           -3.843874            9.610150
            1.690000            1.991052           -4.009172            9.184882
            1.700000            2.033373           -4.175452            8.769238
            1.710000            2.074712           -4.342712            8.363217
            1.720000            2.115071           -4.510954            7.966820
            1.730000            2.154448           -4.680177            7.580046
            1.740000            2.192844           -4.850380            7.202896
            1.750000            2.230260           -5.021565            6.835369
            1.760000            2.266694           -5.193730            6.477467
            1.770000            2.302148           -5.366877            6.129187
            1.780000            2.336620           -5.541004            5.790532
            1.790000            2.370112           -5.716113            5.461500
            1.800000            2.402622           -5.892202            5.142092
            1.810000            2.434151           -6.069273            4.832307
            1.820000            2.464700           -6.247324            4.532146
            1.830000            2.494267           -6.426357            4.241608
            1.840000            2.522854           -6.606370            3.960694
            1.850000            2.550459           -6.787365            3.689404
            1.860000            2.577083           -6.969340            3.427737
            1.870000            2.602727           -7.152297            3.175694
            1.880000            2.627389           -7.336234            2.933275
            1.890000            2.651071           -7.521153            2.700479
            1.900000            2.673771           -7.707052            2.477307
            1.910000            2.695491           -7.893933            2.263758
            1.920000            2.716229           -8.081794            2.059833
            1.930000            2.735986           -8.270637            1.865532
            1.940000            2.754763           -8.460461            1.680854
            1.950000            2.772558           -8.651265            1.505800
            1.960000            2.789373           -8.843051            1.340369
            1.970000            2.805206           -9.035817            1.184562
            1.980000            2.820058           -9.229565            1.038379
            1.990000            2.833930           -9.424293            0.901819
            2.000000            2.846820           -9.620003            0.774883
            2.010000            2.858730           -9.816693            0.657571
            2.020000            2.869658          -10.014365            0.549882
            2.030000            2.879605          -10.213017            0.451816
            2.040000            2.888572          -10.412651            0.363375
            2.050000            2.896557          -10.613265            0.284557
            2.060000            2.903562          -10.814861            0.215362
            2.070000            2.909585          -11.017437            0.155791
            2.080000            2.914627          -11.220995            0.105844
            2.090000            2.918689          -11.425533            0.065521
            2.100000            2.921769          -11.631053            0.034821
            2.110000            2.923869          -11.837554            0.013744
            2.120000            2.924987          -12.045035            0.002291
            2.130000            2.925125          -12.253498            0.000462
            2.140000            2.924281          -12.462941            0.008257
            2.150000            2.922456          -12.673366            0.025675
            2.160000            2.919651          -12.884771            0.052716
            2.170000            2.915864          -13.097158            0.089382
            2.180000            2.911097          -13.310525            0.135671
            2.190000            2.905348          -13.524874            0.191583
            2.200000            2.898618          -13.740203            0.257119
            2.210000            2.890908          -13.956514            0.332279
            2.220000            2.882216          -14.173805            0.417062
            2.230000            2.872544          -14.392078            0.511469
            2.240000            2.861890          -14.611331            0.615500
            2.250000            2.850255          -14.831566            0.729154
            2.260000            2.837640          -15.052781            0.852432
